capacity,capacity_value,seed,epoch,return,run_id,run_name
50k,50000,0,30,288.1000061035156,8i3d83po,reacher-hard-v0_0_20260728-165747_Ours+curiosity_res_buf50k_ftlr0.0001_clip1.0_A10.0_On0.0_anlFalse
50k,50000,0,31,753.7999877929688,8i3d83po,reacher-hard-v0_0_20260728-165747_Ours+curiosity_res_buf50k_ftlr0.0001_clip1.0_A10.0_On0.0_anlFalse
50k,50000,0,32,476.1000061035156,8i3d83po,reacher-hard-v0_0_20260728-165747_Ours+curiosity_res_buf50k_ftlr0.0001_clip1.0_A10.0_On0.0_anlFalse
50k,50000,0,33,549,8i3d83po,reacher-hard-v0_0_20260728-165747_Ours+curiosity_res_buf50k_ftlr0.0001_clip1.0_A10.0_On0.0_anlFalse
50k,50000,0,34,478.1000061035156,8i3d83po,reacher-hard-v0_0_20260728-165747_Ours+curiosity_res_buf50k_ftlr0.0001_clip1.0_A10.0_On0.0_anlFalse
50k,50000,0,35,666.2000122070312,8i3d83po,reacher-hard-v0_0_20260728-165747_Ours+curiosity_res_buf50k_ftlr0.0001_clip1.0_A10.0_On0.0_anlFalse
50k,50000,0,36,394,8i3d83po,reacher-hard-v0_0_20260728-165747_Ours+curiosity_res_buf50k_ftlr0.0001_clip1.0_A10.0_On0.0_anlFalse
50k,50000,0,37,552.5,8i3d83po,reacher-hard-v0_0_20260728-165747_Ours+curiosity_res_buf50k_ftlr0.0001_clip1.0_A10.0_On0.0_anlFalse
50k,50000,0,38,675.2999877929688,8i3d83po,reacher-hard-v0_0_20260728-165747_Ours+curiosity_res_buf50k_ftlr0.0001_clip1.0_A10.0_On0.0_anlFalse
50k,50000,0,39,664.0999755859375,8i3d83po,reacher-hard-v0_0_20260728-165747_Ours+curiosity_res_buf50k_ftlr0.0001_clip1.0_A10.0_On0.0_anlFalse
50k,50000,0,40,585.4000244140625,8i3d83po,reacher-hard-v0_0_20260728-165747_Ours+curiosity_res_buf50k_ftlr0.0001_clip1.0_A10.0_On0.0_anlFalse
50k,50000,0,41,575.2000122070312,8i3d83po,reacher-hard-v0_0_20260728-165747_Ours+curiosity_res_buf50k_ftlr0.0001_clip1.0_A10.0_On0.0_anlFalse
50k,50000,0,42,662.4000244140625,8i3d83po,reacher-hard-v0_0_20260728-165747_Ours+curiosity_res_buf50k_ftlr0.0001_clip1.0_A10.0_On0.0_anlFalse
50k,50000,0,43,559.2000122070312,8i3d83po,reacher-hard-v0_0_20260728-165747_Ours+curiosity_res_buf50k_ftlr0.0001_clip1.0_A10.0_On0.0_anlFalse
50k,50000,0,44,454.20001220703125,8i3d83po,reacher-hard-v0_0_20260728-165747_Ours+curiosity_res_buf50k_ftlr0.0001_clip1.0_A10.0_On0.0_anlFalse
50k,50000,0,45,658,8i3d83po,reacher-hard-v0_0_20260728-165747_Ours+curiosity_res_buf50k_ftlr0.0001_clip1.0_A10.0_On0.0_anlFalse
50k,50000,0,46,780.7000122070312,8i3d83po,reacher-hard-v0_0_20260728-165747_Ours+curiosity_res_buf50k_ftlr0.0001_clip1.0_A10.0_On0.0_anlFalse
50k,50000,0,47,462.5,8i3d83po,reacher-hard-v0_0_20260728-165747_Ours+curiosity_res_buf50k_ftlr0.0001_clip1.0_A10.0_On0.0_anlFalse
50k,50000,0,48,573.5999755859375,8i3d83po,reacher-hard-v0_0_20260728-165747_Ours+curiosity_res_buf50k_ftlr0.0001_clip1.0_A10.0_On0.0_anlFalse
50k,50000,0,49,407.1000061035156,8i3d83po,reacher-hard-v0_0_20260728-165747_Ours+curiosity_res_buf50k_ftlr0.0001_clip1.0_A10.0_On0.0_anlFalse
50k,50000,0,50,572.2000122070312,8i3d83po,reacher-hard-v0_0_20260728-165747_Ours+curiosity_res_buf50k_ftlr0.0001_clip1.0_A10.0_On0.0_anlFalse
50k,50000,0,51,407.3999938964844,8i3d83po,reacher-hard-v0_0_20260728-165747_Ours+curiosity_res_buf50k_ftlr0.0001_clip1.0_A10.0_On0.0_anlFalse
50k,50000,0,52,290.5,8i3d83po,reacher-hard-v0_0_20260728-165747_Ours+curiosity_res_buf50k_ftlr0.0001_clip1.0_A10.0_On0.0_anlFalse
50k,50000,0,53,184.5,8i3d83po,reacher-hard-v0_0_20260728-165747_Ours+curiosity_res_buf50k_ftlr0.0001_clip1.0_A10.0_On0.0_anlFalse
50k,50000,0,54,194.5,8i3d83po,reacher-hard-v0_0_20260728-165747_Ours+curiosity_res_buf50k_ftlr0.0001_clip1.0_A10.0_On0.0_anlFalse
50k,50000,0,55,274.79998779296875,8i3d83po,reacher-hard-v0_0_20260728-165747_Ours+curiosity_res_buf50k_ftlr0.0001_clip1.0_A10.0_On0.0_anlFalse
50k,50000,0,56,385.79998779296875,8i3d83po,reacher-hard-v0_0_20260728-165747_Ours+curiosity_res_buf50k_ftlr0.0001_clip1.0_A10.0_On0.0_anlFalse
50k,50000,0,57,864.2000122070312,8i3d83po,reacher-hard-v0_0_20260728-165747_Ours+curiosity_res_buf50k_ftlr0.0001_clip1.0_A10.0_On0.0_anlFalse
50k,50000,0,58,572.9000244140625,8i3d83po,reacher-hard-v0_0_20260728-165747_Ours+curiosity_res_buf50k_ftlr0.0001_clip1.0_A10.0_On0.0_anlFalse
50k,50000,0,59,663.2000122070312,8i3d83po,reacher-hard-v0_0_20260728-165747_Ours+curiosity_res_buf50k_ftlr0.0001_clip1.0_A10.0_On0.0_anlFalse
50k,50000,0,60,667.9000244140625,8i3d83po,reacher-hard-v0_0_20260728-165747_Ours+curiosity_res_buf50k_ftlr0.0001_clip1.0_A10.0_On0.0_anlFalse
50k,50000,0,61,582.9000244140625,8i3d83po,reacher-hard-v0_0_20260728-165747_Ours+curiosity_res_buf50k_ftlr0.0001_clip1.0_A10.0_On0.0_anlFalse
50k,50000,0,62,664.7999877929688,8i3d83po,reacher-hard-v0_0_20260728-165747_Ours+curiosity_res_buf50k_ftlr0.0001_clip1.0_A10.0_On0.0_anlFalse
50k,50000,0,63,772.2000122070312,8i3d83po,reacher-hard-v0_0_20260728-165747_Ours+curiosity_res_buf50k_ftlr0.0001_clip1.0_A10.0_On0.0_anlFalse
50k,50000,0,64,751.0999755859375,8i3d83po,reacher-hard-v0_0_20260728-165747_Ours+curiosity_res_buf50k_ftlr0.0001_clip1.0_A10.0_On0.0_anlFalse
50k,50000,0,65,505.20001220703125,8i3d83po,reacher-hard-v0_0_20260728-165747_Ours+curiosity_res_buf50k_ftlr0.0001_clip1.0_A10.0_On0.0_anlFalse
50k,50000,0,66,568.0999755859375,8i3d83po,reacher-hard-v0_0_20260728-165747_Ours+curiosity_res_buf50k_ftlr0.0001_clip1.0_A10.0_On0.0_anlFalse
50k,50000,0,67,861.4000244140625,8i3d83po,reacher-hard-v0_0_20260728-165747_Ours+curiosity_res_buf50k_ftlr0.0001_clip1.0_A10.0_On0.0_anlFalse
